attack_type,security_tools_used,industry
Brute Force,WAF,Technology
Cross-Site Scripting,Endpoint Detection,Retail
Zero-Day Exploit,MFA,Government
DDoS,Endpoint Detection,Technology
Phishing,SIEM,Healthcare
Malware,SIEM,Manufacturing
SQL Injection,WAF,Healthcare
Ransomware,VPN,Retail
Brute Force,IDS,Finance
DDoS,WAF,Government
Malware,MFA,Education
SQL Injection,SIEM,Technology
Brute Force,IDS,Healthcare
DDoS,MFA,Education
Ransomware,IDS,Manufacturing
Phishing,Firewall,Technology
Ransomware,Antivirus,Healthcare
Brute Force,Antivirus,Education
DDoS,WAF,Healthcare
Malware,MFA,Finance
Malware,Firewall,Technology
SQL Injection,VPN,Education
Malware,Firewall,Government
Ransomware,IDS,Government
Zero-Day Exploit,Antivirus,Energy
Phishing,MFA,Healthcare
Malware,WAF,Education
Ransomware,Endpoint Detection,Technology
Phishing,SIEM,Finance
Malware,VPN,Healthcare
Phishing,Firewall,Healthcare
Malware,MFA,Finance
Cross-Site Scripting,MFA,Technology
DDoS,Firewall,Education
Zero-Day Exploit,VPN,Education
DDoS,IDS,Manufacturing
SQL Injection,IDS,Technology
SQL Injection,IDS,Education
DDoS,WAF,Technology
Phishing,VPN,Education
Phishing,Endpoint Detection,Manufacturing
SQL Injection,VPN,Manufacturing
Malware,MFA,Finance
Brute Force,VPN,Government
Zero-Day Exploit,IDS,Retail
Zero-Day Exploit,Firewall,Energy
Ransomware,Antivirus,Technology
Malware,Antivirus,Energy
Phishing,Firewall,Government
Ransomware,WAF,Manufacturing
DDoS,Antivirus,Healthcare
Ransomware,Antivirus,Education
Cross-Site Scripting,IDS,Education
SQL Injection,Endpoint Detection,Education
Malware,WAF,Manufacturing
SQL Injection,Firewall,Energy
Zero-Day Exploit,WAF,Energy
Cross-Site Scripting,SIEM,Technology
Zero-Day Exploit,IDS,Healthcare
Malware,Endpoint Detection,Education
SQL Injection,Antivirus,Manufacturing
DDoS,VPN,Retail
Brute Force,SIEM,Manufacturing
Malware,Endpoint Detection,Healthcare
Malware,VPN,Energy
Cross-Site Scripting,VPN,Energy
Ransomware,Antivirus,Finance
Brute Force,WAF,Healthcare
Malware,Antivirus,Finance
Cross-Site Scripting,MFA,Healthcare
SQL Injection,IDS,Technology
Ransomware,WAF,Manufacturing
Phishing,VPN,Finance
Zero-Day Exploit,Firewall,Energy
Brute Force,Endpoint Detection,Government
Brute Force,WAF,Healthcare
SQL Injection,MFA,Finance
Brute Force,Firewall,Energy
Ransomware,MFA,Energy
Ransomware,SIEM,Energy
Brute Force,IDS,Retail
Cross-Site Scripting,MFA,Healthcare
Phishing,MFA,Education
DDoS,VPN,Manufacturing
Zero-Day Exploit,Firewall,Education
Brute Force,IDS,Retail
DDoS,VPN,Finance
Cross-Site Scripting,WAF,Healthcare
SQL Injection,MFA,Finance
SQL Injection,SIEM,Retail
DDoS,IDS,Manufacturing
Brute Force,IDS,Technology
Cross-Site Scripting,Firewall,Education
Ransomware,IDS,Education
SQL Injection,Endpoint Detection,Education
Brute Force,MFA,Technology
Malware,Antivirus,Finance
Phishing,MFA,Finance
Ransomware,VPN,Education
Malware,Antivirus,Energy
Malware,Firewall,Education
SQL Injection,SIEM,Energy
DDoS,Antivirus,Government
Malware,Antivirus,Finance
Zero-Day Exploit,WAF,Government
Zero-Day Exploit,Endpoint Detection,Manufacturing
SQL Injection,Antivirus,Finance
Ransomware,MFA,Healthcare
Malware,VPN,Manufacturing
Brute Force,Firewall,Energy
Ransomware,MFA,Education
DDoS,WAF,Technology
Malware,Firewall,Manufacturing
Phishing,MFA,Education
Zero-Day Exploit,VPN,Education
Cross-Site Scripting,IDS,Government
Malware,SIEM,Technology
SQL Injection,VPN,Energy
Cross-Site Scripting,VPN,Manufacturing
Cross-Site Scripting,Antivirus,Retail
Brute Force,MFA,Government
Cross-Site Scripting,Endpoint Detection,Manufacturing
Zero-Day Exploit,WAF,Government
Ransomware,Endpoint Detection,Energy
DDoS,VPN,Education
Ransomware,MFA,Healthcare
Cross-Site Scripting,MFA,Retail
SQL Injection,WAF,Energy
Zero-Day Exploit,Endpoint Detection,Technology
Zero-Day Exploit,SIEM,Education
DDoS,MFA,Finance
Malware,WAF,Education
Cross-Site Scripting,Endpoint Detection,Government
DDoS,Endpoint Detection,Healthcare
DDoS,MFA,Healthcare
DDoS,Antivirus,Finance
DDoS,Firewall,Manufacturing
SQL Injection,IDS,Manufacturing
Malware,IDS,Education
Cross-Site Scripting,Endpoint Detection,Education
Malware,Firewall,Technology
DDoS,Firewall,Energy
DDoS,MFA,Retail
Malware,MFA,Manufacturing
Malware,Firewall,Healthcare
Ransomware,Antivirus,Healthcare
Cross-Site Scripting,Endpoint Detection,Manufacturing
Phishing,SIEM,Energy
Cross-Site Scripting,IDS,Healthcare
Brute Force,Antivirus,Healthcare
Zero-Day Exploit,Firewall,Retail
SQL Injection,Antivirus,Finance
Phishing,SIEM,Technology
DDoS,WAF,Retail
Ransomware,SIEM,Retail
Ransomware,WAF,Education
Cross-Site Scripting,MFA,Energy
Cross-Site Scripting,MFA,Healthcare
DDoS,MFA,Technology
Ransomware,IDS,Government
SQL Injection,WAF,Energy
Malware,Firewall,Retail
SQL Injection,Antivirus,Energy
Brute Force,VPN,Technology
DDoS,WAF,Technology
Brute Force,WAF,Healthcare
Phishing,SIEM,Energy
Cross-Site Scripting,MFA,Energy
SQL Injection,SIEM,Retail
DDoS,WAF,Retail
Cross-Site Scripting,Endpoint Detection,Government
Phishing,VPN,Healthcare
Ransomware,MFA,Government
SQL Injection,SIEM,Finance
Zero-Day Exploit,WAF,Healthcare
Zero-Day Exploit,IDS,Education
DDoS,MFA,Energy
SQL Injection,MFA,Healthcare
Malware,Antivirus,Technology
Phishing,Antivirus,Government
Phishing,Endpoint Detection,Technology
Ransomware,Endpoint Detection,Healthcare
Malware,WAF,Healthcare
SQL Injection,Firewall,Education
DDoS,Firewall,Energy
Zero-Day Exploit,Firewall,Finance
SQL Injection,Endpoint Detection,Government
Zero-Day Exploit,Endpoint Detection,Government
SQL Injection,IDS,Manufacturing
Brute Force,Endpoint Detection,Energy
Ransomware,VPN,Manufacturing
Ransomware,VPN,Government
Phishing,MFA,Education
Ransomware,Antivirus,Energy
Cross-Site Scripting,Endpoint Detection,Energy
Malware,VPN,Technology
DDoS,Firewall,Education
DDoS,MFA,Education
Cross-Site Scripting,WAF,Finance
Zero-Day Exploit,WAF,Manufacturing
Zero-Day Exploit,WAF,Energy
Malware,Endpoint Detection,Technology
Malware,VPN,Finance
Malware,SIEM,Healthcare
Ransomware,Antivirus,Finance
Ransomware,Endpoint Detection,Technology
Zero-Day Exploit,SIEM,Finance
DDoS,Endpoint Detection,Finance
Phishing,Endpoint Detection,Healthcare
Ransomware,VPN,Technology
Malware,Endpoint Detection,Healthcare
Phishing,WAF,Technology
SQL Injection,WAF,Retail
Brute Force,Endpoint Detection,Manufacturing
SQL Injection,SIEM,Retail
Cross-Site Scripting,Antivirus,Finance
Cross-Site Scripting,SIEM,Finance
SQL Injection,VPN,Manufacturing
Cross-Site Scripting,VPN,Healthcare
Ransomware,VPN,Education
Zero-Day Exploit,IDS,Technology
Zero-Day Exploit,Firewall,Technology
Ransomware,MFA,Energy
Cross-Site Scripting,VPN,Government
SQL Injection,VPN,Healthcare
Cross-Site Scripting,Endpoint Detection,Manufacturing
Brute Force,SIEM,Finance
Ransomware,WAF,Education
SQL Injection,VPN,Energy
SQL Injection,SIEM,Technology
DDoS,Firewall,Energy
SQL Injection,Antivirus,Retail
Ransomware,SIEM,Manufacturing
Phishing,Endpoint Detection,Energy
Malware,Endpoint Detection,Energy
Malware,Firewall,Education
Zero-Day Exploit,Antivirus,Finance
Brute Force,Firewall,Education
Cross-Site Scripting,MFA,Retail
Zero-Day Exploit,SIEM,Education
SQL Injection,VPN,Healthcare
Cross-Site Scripting,WAF,Manufacturing
DDoS,WAF,Government
DDoS,Firewall,Finance
SQL Injection,MFA,Technology
Ransomware,MFA,Government
Brute Force,WAF,Finance
DDoS,IDS,Healthcare
Malware,IDS,Retail
Phishing,SIEM,Government
Ransomware,IDS,Manufacturing
Ransomware,MFA,Retail
Zero-Day Exploit,IDS,Energy
Zero-Day Exploit,SIEM,Finance
DDoS,Antivirus,Retail
Malware,MFA,Healthcare
DDoS,MFA,Finance
DDoS,Firewall,Finance
Malware,IDS,Technology
DDoS,Endpoint Detection,Education
SQL Injection,Antivirus,Energy
Brute Force,Firewall,Education
SQL Injection,IDS,Healthcare
SQL Injection,Firewall,Education
Brute Force,IDS,Government
SQL Injection,SIEM,Healthcare
Brute Force,Endpoint Detection,Manufacturing
Phishing,SIEM,Manufacturing
Brute Force,SIEM,Education
SQL Injection,Endpoint Detection,Technology
Zero-Day Exploit,WAF,Government
Brute Force,MFA,Manufacturing
DDoS,WAF,Energy
Zero-Day Exploit,VPN,Manufacturing
Brute Force,Firewall,Education
Malware,Antivirus,Healthcare
SQL Injection,Endpoint Detection,Education
Malware,VPN,Energy
Zero-Day Exploit,SIEM,Government
DDoS,SIEM,Energy
Zero-Day Exploit,WAF,Energy
DDoS,IDS,Education
Ransomware,Antivirus,Energy
Malware,Endpoint Detection,Manufacturing
Phishing,Antivirus,Government
SQL Injection,MFA,Government
Brute Force,WAF,Education
Phishing,IDS,Government
Brute Force,IDS,Education
SQL Injection,Firewall,Government
Ransomware,MFA,Energy
Brute Force,MFA,Retail
DDoS,IDS,Education
Phishing,Firewall,Technology
SQL Injection,WAF,Education
DDoS,SIEM,Finance
Ransomware,WAF,Energy
Ransomware,Antivirus,Finance
Ransomware,Endpoint Detection,Healthcare
Malware,VPN,Healthcare
DDoS,VPN,Government
SQL Injection,IDS,Retail
Brute Force,Firewall,Energy
Malware,VPN,Government
Ransomware,Antivirus,Energy
Cross-Site Scripting,Endpoint Detection,Education
SQL Injection,Endpoint Detection,Finance
Malware,IDS,Retail
Malware,Firewall,Education
Brute Force,Firewall,Finance
Brute Force,VPN,Government
Zero-Day Exploit,Firewall,Education
Ransomware,Antivirus,Energy
Cross-Site Scripting,SIEM,Government
Malware,WAF,Technology
Zero-Day Exploit,VPN,Technology
SQL Injection,VPN,Healthcare
Zero-Day Exploit,IDS,Technology
Phishing,MFA,Manufacturing
Phishing,Antivirus,Manufacturing
Malware,VPN,Finance
Malware,IDS,Education
Phishing,SIEM,Government
Cross-Site Scripting,IDS,Healthcare
Zero-Day Exploit,IDS,Government
Malware,MFA,Healthcare
DDoS,Antivirus,Education
DDoS,VPN,Government
Brute Force,Antivirus,Finance
Malware,Antivirus,Finance
Brute Force,VPN,Energy
Brute Force,SIEM,Technology
SQL Injection,SIEM,Technology
Ransomware,VPN,Healthcare
Brute Force,VPN,Energy
Phishing,WAF,Finance
Brute Force,Antivirus,Energy
Malware,WAF,Finance
Brute Force,IDS,Manufacturing
DDoS,MFA,Retail
DDoS,IDS,Finance
DDoS,VPN,Technology
Malware,VPN,Government
SQL Injection,MFA,Manufacturing
Brute Force,VPN,Technology
Phishing,MFA,Retail
Phishing,VPN,Education
SQL Injection,MFA,Government
Zero-Day Exploit,Antivirus,Education
Cross-Site Scripting,Firewall,Technology
Phishing,SIEM,Finance
Brute Force,MFA,Manufacturing
Cross-Site Scripting,IDS,Government
Malware,SIEM,Manufacturing
Brute Force,Firewall,Education
DDoS,VPN,Education
Cross-Site Scripting,Antivirus,Technology
DDoS,IDS,Retail
Phishing,WAF,Energy
Malware,Antivirus,Technology
Ransomware,MFA,Retail
Cross-Site Scripting,VPN,Healthcare
Cross-Site Scripting,Firewall,Technology
Cross-Site Scripting,WAF,Energy
SQL Injection,IDS,Government
Ransomware,SIEM,Retail
Phishing,IDS,Manufacturing
Ransomware,WAF,Finance
Ransomware,WAF,Education
Phishing,MFA,Finance
Zero-Day Exploit,IDS,Manufacturing
Zero-Day Exploit,IDS,Manufacturing
Malware,SIEM,Government
Malware,Firewall,Energy
Brute Force,VPN,Retail
Malware,Endpoint Detection,Government
Phishing,Antivirus,Retail
SQL Injection,IDS,Finance
DDoS,SIEM,Government
DDoS,IDS,Finance
Malware,Firewall,Education
Zero-Day Exploit,IDS,Retail
Ransomware,Firewall,Retail
Phishing,IDS,Healthcare
Brute Force,Antivirus,Retail
Ransomware,Firewall,Technology
Malware,WAF,Technology
Phishing,Endpoint Detection,Technology
Malware,SIEM,Manufacturing
Malware,IDS,Healthcare
DDoS,Antivirus,Technology
SQL Injection,Firewall,Education
DDoS,Firewall,Education
DDoS,SIEM,Technology
Ransomware,IDS,Education
Phishing,IDS,Government
Cross-Site Scripting,MFA,Finance
Ransomware,IDS,Education
SQL Injection,WAF,Education
Ransomware,IDS,Manufacturing
SQL Injection,MFA,Retail
DDoS,WAF,Education
DDoS,SIEM,Manufacturing
Phishing,WAF,Technology
SQL Injection,Antivirus,Education
Phishing,IDS,Retail
DDoS,VPN,Energy
Malware,Endpoint Detection,Manufacturing
SQL Injection,WAF,Manufacturing
Phishing,WAF,Finance
Cross-Site Scripting,WAF,Finance
Ransomware,Antivirus,Finance
Cross-Site Scripting,IDS,Government
Brute Force,VPN,Government
SQL Injection,MFA,Technology
Malware,Firewall,Energy
Cross-Site Scripting,WAF,Finance
SQL Injection,SIEM,Government
SQL Injection,Antivirus,Education
Malware,IDS,Government
Zero-Day Exploit,MFA,Energy
Malware,IDS,Finance
SQL Injection,IDS,Government
Zero-Day Exploit,MFA,Technology
SQL Injection,IDS,Healthcare
DDoS,Firewall,Finance
Ransomware,SIEM,Technology
Brute Force,WAF,Finance
SQL Injection,SIEM,Finance
Ransomware,Firewall,Manufacturing
SQL Injection,Antivirus,Finance
Ransomware,WAF,Education
DDoS,Antivirus,Manufacturing
SQL Injection,Firewall,Education
SQL Injection,VPN,Energy
Brute Force,MFA,Education
Cross-Site Scripting,Antivirus,Energy
Brute Force,SIEM,Technology
DDoS,Antivirus,Retail
Malware,SIEM,Finance
Ransomware,MFA,Finance
Ransomware,WAF,Technology
Brute Force,SIEM,Retail
Malware,WAF,Energy
Brute Force,SIEM,Retail
Phishing,IDS,Retail
Zero-Day Exploit,Antivirus,Government
Phishing,Endpoint Detection,Energy
Zero-Day Exploit,SIEM,Finance
Cross-Site Scripting,Firewall,Retail
Brute Force,VPN,Government
Malware,Endpoint Detection,Government
Phishing,Endpoint Detection,Finance
Cross-Site Scripting,Antivirus,Finance
DDoS,MFA,Healthcare
Ransomware,IDS,Healthcare
SQL Injection,MFA,Finance
SQL Injection,MFA,Energy
Zero-Day Exploit,Endpoint Detection,Energy
Zero-Day Exploit,Endpoint Detection,Education
Phishing,WAF,Government
Cross-Site Scripting,Endpoint Detection,Technology
SQL Injection,IDS,Retail
Phishing,VPN,Government
Phishing,SIEM,Manufacturing
SQL Injection,Firewall,Manufacturing
Ransomware,Firewall,Technology
Ransomware,Endpoint Detection,Technology
Brute Force,WAF,Retail
Brute Force,Endpoint Detection,Manufacturing
Zero-Day Exploit,WAF,Education
Zero-Day Exploit,Firewall,Energy
SQL Injection,IDS,Manufacturing
Ransomware,SIEM,Healthcare
Zero-Day Exploit,Endpoint Detection,Manufacturing
DDoS,SIEM,Education
Malware,WAF,Retail
DDoS,MFA,Finance
Malware,Antivirus,Energy
Phishing,WAF,Finance
Zero-Day Exploit,Antivirus,Retail
Cross-Site Scripting,SIEM,Retail
Brute Force,Firewall,Retail
Ransomware,Firewall,Energy
Phishing,Endpoint Detection,Healthcare
Zero-Day Exploit,MFA,Technology
Cross-Site Scripting,MFA,Government
DDoS,Antivirus,Healthcare
Malware,Firewall,Education
Malware,Antivirus,Government
Ransomware,SIEM,Energy
SQL Injection,Antivirus,Government
Cross-Site Scripting,Antivirus,Finance
Malware,Endpoint Detection,Healthcare
Phishing,VPN,Energy
Brute Force,MFA,Education
Phishing,Endpoint Detection,Energy
Zero-Day Exploit,SIEM,Manufacturing
Cross-Site Scripting,MFA,Government
Ransomware,Antivirus,Retail
Zero-Day Exploit,MFA,Finance
SQL Injection,Firewall,Retail
DDoS,SIEM,Healthcare
Cross-Site Scripting,SIEM,Finance
Zero-Day Exploit,WAF,Education
Malware,MFA,Technology
Cross-Site Scripting,Antivirus,Manufacturing
DDoS,SIEM,Technology
Cross-Site Scripting,Firewall,Retail
SQL Injection,IDS,Retail
Cross-Site Scripting,WAF,Government
SQL Injection,IDS,Finance
Zero-Day Exploit,Antivirus,Retail
Malware,MFA,Government
Phishing,WAF,Finance
SQL Injection,WAF,Energy
Cross-Site Scripting,Firewall,Finance
SQL Injection,Firewall,Government
Malware,Antivirus,Education
Malware,MFA,Finance
Brute Force,Endpoint Detection,Education
Brute Force,MFA,Government
Zero-Day Exploit,SIEM,Government
DDoS,Firewall,Education
Phishing,Firewall,Technology
SQL Injection,SIEM,Government
Zero-Day Exploit,WAF,Finance
Ransomware,Firewall,Retail
Cross-Site Scripting,MFA,Education
Ransomware,IDS,Government
Phishing,Firewall,Energy
Zero-Day Exploit,Endpoint Detection,Retail
Phishing,SIEM,Finance
SQL Injection,Firewall,Retail
SQL Injection,Antivirus,Energy
Zero-Day Exploit,Antivirus,Healthcare
Ransomware,VPN,Retail
Ransomware,SIEM,Energy
Cross-Site Scripting,Endpoint Detection,Energy
Cross-Site Scripting,VPN,Government
Cross-Site Scripting,VPN,Government
Ransomware,SIEM,Energy
Cross-Site Scripting,Endpoint Detection,Finance
SQL Injection,MFA,Finance
Ransomware,MFA,Healthcare
Brute Force,MFA,Retail
Cross-Site Scripting,Endpoint Detection,Energy
Malware,MFA,Technology
Zero-Day Exploit,MFA,Government
Zero-Day Exploit,VPN,Finance
Brute Force,Firewall,Energy
Ransomware,VPN,Finance
Malware,Firewall,Manufacturing
Ransomware,MFA,Healthcare
Zero-Day Exploit,WAF,Finance
SQL Injection,SIEM,Finance
Ransomware,Endpoint Detection,Healthcare
Zero-Day Exploit,VPN,Government
DDoS,Firewall,Energy
Zero-Day Exploit,MFA,Technology
Malware,MFA,Manufacturing
SQL Injection,Endpoint Detection,Technology
DDoS,Endpoint Detection,Government
Brute Force,MFA,Technology
Zero-Day Exploit,Antivirus,Manufacturing
Brute Force,VPN,Energy
Phishing,IDS,Retail
Cross-Site Scripting,IDS,Healthcare
Ransomware,Firewall,Retail
SQL Injection,WAF,Energy
Zero-Day Exploit,WAF,Technology
Ransomware,Firewall,Energy
Zero-Day Exploit,SIEM,Finance
SQL Injection,Antivirus,Manufacturing
Brute Force,Antivirus,Education
Brute Force,VPN,Education
Brute Force,VPN,Technology
Ransomware,Endpoint Detection,Retail
Cross-Site Scripting,Firewall,Healthcare
Cross-Site Scripting,WAF,Energy
Phishing,IDS,Education
Cross-Site Scripting,MFA,Finance
Phishing,Antivirus,Energy
Zero-Day Exploit,SIEM,Healthcare
Ransomware,IDS,Energy
Phishing,Firewall,Healthcare
Malware,SIEM,Education
Brute Force,Firewall,Healthcare
Ransomware,Antivirus,Manufacturing
Brute Force,VPN,Education
Phishing,WAF,Technology
Cross-Site Scripting,WAF,Finance
Phishing,Endpoint Detection,Government
Ransomware,VPN,Energy
Zero-Day Exploit,VPN,Education
Brute Force,Endpoint Detection,Education
Zero-Day Exploit,Endpoint Detection,Education
Brute Force,IDS,Manufacturing
Ransomware,SIEM,Energy
Ransomware,Antivirus,Government
DDoS,WAF,Finance
Cross-Site Scripting,WAF,Finance
Phishing,Antivirus,Technology
Ransomware,Endpoint Detection,Technology
Cross-Site Scripting,VPN,Education
DDoS,WAF,Technology
Brute Force,SIEM,Education
SQL Injection,SIEM,Education
Phishing,IDS,Energy
Brute Force,Endpoint Detection,Energy
DDoS,SIEM,Retail
Zero-Day Exploit,Antivirus,Retail
Cross-Site Scripting,Endpoint Detection,Government
Malware,SIEM,Technology
Zero-Day Exploit,WAF,Education
Ransomware,VPN,Technology
Phishing,VPN,Technology
SQL Injection,Firewall,Finance
Brute Force,WAF,Technology
Malware,IDS,Government
Malware,SIEM,Technology
Brute Force,IDS,Finance
Cross-Site Scripting,SIEM,Manufacturing
Malware,SIEM,Manufacturing
SQL Injection,VPN,Retail
Zero-Day Exploit,Antivirus,Energy
SQL Injection,Antivirus,Retail
Cross-Site Scripting,Firewall,Government
Malware,VPN,Energy
Zero-Day Exploit,SIEM,Energy
DDoS,SIEM,Retail
Phishing,VPN,Retail
Ransomware,WAF,Manufacturing
DDoS,Firewall,Government
SQL Injection,WAF,Manufacturing
Cross-Site Scripting,Firewall,Technology
Brute Force,Antivirus,Education
DDoS,VPN,Government
Phishing,Antivirus,Technology
Brute Force,Endpoint Detection,Technology
DDoS,Firewall,Education
DDoS,Endpoint Detection,Energy
Malware,Endpoint Detection,Government
Ransomware,SIEM,Manufacturing
Ransomware,VPN,Finance
DDoS,Antivirus,Technology
DDoS,Firewall,Energy
Phishing,MFA,Education
Phishing,Firewall,Finance
Phishing,MFA,Finance
SQL Injection,Firewall,Manufacturing
Cross-Site Scripting,SIEM,Finance
Phishing,SIEM,Technology
Ransomware,Endpoint Detection,Technology
DDoS,Firewall,Government
SQL Injection,SIEM,Government
Cross-Site Scripting,Firewall,Retail
Phishing,IDS,Government
Phishing,Antivirus,Government
Brute Force,Antivirus,Technology
Brute Force,Antivirus,Technology
DDoS,WAF,Education
Brute Force,Endpoint Detection,Technology
DDoS,Firewall,Retail
Cross-Site Scripting,Antivirus,Government
SQL Injection,Firewall,Healthcare
SQL Injection,Endpoint Detection,Manufacturing
Phishing,SIEM,Retail
Malware,MFA,Healthcare
Malware,Antivirus,Energy
SQL Injection,IDS,Finance
SQL Injection,SIEM,Education
SQL Injection,Endpoint Detection,Government
SQL Injection,MFA,Technology
DDoS,VPN,Manufacturing
DDoS,IDS,Government
Phishing,Antivirus,Government
Brute Force,VPN,Education
DDoS,VPN,Technology
Ransomware,Endpoint Detection,Education
Zero-Day Exploit,Firewall,Energy
SQL Injection,MFA,Retail
Malware,WAF,Energy
SQL Injection,Antivirus,Finance
Brute Force,VPN,Technology
Phishing,WAF,Finance
DDoS,Firewall,Energy
SQL Injection,WAF,Finance
Brute Force,Firewall,Finance
Zero-Day Exploit,WAF,Finance
Cross-Site Scripting,Endpoint Detection,Retail
Ransomware,VPN,Retail
Phishing,Endpoint Detection,Energy
Cross-Site Scripting,WAF,Education
Phishing,MFA,Technology
DDoS,VPN,Energy
Cross-Site Scripting,Antivirus,Energy
Cross-Site Scripting,SIEM,Finance
Zero-Day Exploit,Firewall,Healthcare
Cross-Site Scripting,SIEM,Retail
Malware,VPN,Education
Ransomware,SIEM,Healthcare
Cross-Site Scripting,Endpoint Detection,Retail
Phishing,MFA,Education
Brute Force,IDS,Energy
Zero-Day Exploit,WAF,Healthcare
Cross-Site Scripting,IDS,Government
Malware,Endpoint Detection,Healthcare
SQL Injection,VPN,Technology
DDoS,VPN,Technology
Ransomware,IDS,Retail
DDoS,VPN,Finance
DDoS,VPN,Healthcare
Phishing,MFA,Manufacturing
DDoS,SIEM,Finance
SQL Injection,WAF,Retail
Phishing,IDS,Technology
Brute Force,Antivirus,Energy
Zero-Day Exploit,Antivirus,Retail
Malware,VPN,Energy
Brute Force,VPN,Manufacturing
DDoS,Antivirus,Retail
Malware,SIEM,Government
Ransomware,VPN,Government
Cross-Site Scripting,Antivirus,Education
Malware,VPN,Government
Zero-Day Exploit,IDS,Government
Brute Force,IDS,Finance
Cross-Site Scripting,MFA,Healthcare
DDoS,Antivirus,Finance
Malware,WAF,Healthcare
Cross-Site Scripting,VPN,Energy
Phishing,WAF,Finance
Ransomware,Firewall,Healthcare
SQL Injection,WAF,Energy
SQL Injection,Endpoint Detection,Finance
Cross-Site Scripting,VPN,Retail
Ransomware,MFA,Education
SQL Injection,VPN,Manufacturing
Malware,Antivirus,Healthcare
DDoS,SIEM,Government
Malware,SIEM,Energy
Zero-Day Exploit,Antivirus,Technology
DDoS,Antivirus,Manufacturing
Brute Force,VPN,Government
Malware,MFA,Energy
Zero-Day Exploit,WAF,Government
Zero-Day Exploit,MFA,Government
Ransomware,Endpoint Detection,Retail
Zero-Day Exploit,IDS,Government
Ransomware,Antivirus,Education
DDoS,WAF,Healthcare
Ransomware,IDS,Healthcare
Zero-Day Exploit,Endpoint Detection,Finance
Phishing,Firewall,Energy
Malware,MFA,Energy
Phishing,WAF,Energy
DDoS,IDS,Government
Brute Force,Firewall,Energy
Phishing,Firewall,Technology
Ransomware,IDS,Healthcare
DDoS,Endpoint Detection,Government
Malware,WAF,Government
Cross-Site Scripting,WAF,Manufacturing
Malware,Antivirus,Energy
Ransomware,IDS,Energy
Malware,MFA,Retail
DDoS,SIEM,Retail
Ransomware,WAF,Education
Zero-Day Exploit,WAF,Technology
Brute Force,SIEM,Retail
Ransomware,MFA,Manufacturing
Brute Force,Endpoint Detection,Retail
Brute Force,VPN,Retail
Ransomware,IDS,Healthcare
Ransomware,VPN,Finance
Malware,VPN,Healthcare
Cross-Site Scripting,Firewall,Energy
SQL Injection,Antivirus,Government
DDoS,SIEM,Technology
SQL Injection,Endpoint Detection,Healthcare
Phishing,WAF,Government
Cross-Site Scripting,Firewall,Government
Zero-Day Exploit,WAF,Healthcare
Cross-Site Scripting,VPN,Technology
Zero-Day Exploit,MFA,Manufacturing
SQL Injection,Endpoint Detection,Retail
Ransomware,VPN,Manufacturing
Ransomware,VPN,Energy
Phishing,IDS,Education
SQL Injection,Endpoint Detection,Energy
Cross-Site Scripting,VPN,Energy
Zero-Day Exploit,MFA,Finance
Malware,Endpoint Detection,Education
Ransomware,VPN,Technology
Cross-Site Scripting,Antivirus,Technology
DDoS,Endpoint Detection,Government
Brute Force,SIEM,Education
Ransomware,WAF,Manufacturing
Cross-Site Scripting,Endpoint Detection,Government
Brute Force,Endpoint Detection,Finance
Brute Force,MFA,Retail
Malware,Firewall,Technology
Malware,VPN,Energy
Phishing,IDS,Finance
SQL Injection,WAF,Healthcare
Phishing,IDS,Technology
SQL Injection,Endpoint Detection,Education
Malware,MFA,Government
Zero-Day Exploit,VPN,Technology
DDoS,VPN,Retail
Phishing,MFA,Technology
Zero-Day Exploit,MFA,Manufacturing
Phishing,Antivirus,Energy
Ransomware,Firewall,Government
Brute Force,Antivirus,Education
SQL Injection,Firewall,Retail
Malware,Antivirus,Retail
DDoS,Antivirus,Healthcare
SQL Injection,WAF,Government
Zero-Day Exploit,Antivirus,Energy
DDoS,IDS,Technology
Brute Force,VPN,Technology
DDoS,MFA,Technology
Phishing,Endpoint Detection,Healthcare
Phishing,IDS,Energy
SQL Injection,WAF,Manufacturing
Ransomware,WAF,Education
Brute Force,VPN,Retail
Cross-Site Scripting,Firewall,Healthcare
Ransomware,MFA,Healthcare
Brute Force,VPN,Technology
Brute Force,Firewall,Technology
Ransomware,MFA,Education
Zero-Day Exploit,Antivirus,Energy
Ransomware,WAF,Retail
Malware,IDS,Energy
DDoS,MFA,Energy
SQL Injection,SIEM,Finance
Phishing,IDS,Government
Ransomware,Endpoint Detection,Energy
Brute Force,Endpoint Detection,Finance
Zero-Day Exploit,VPN,Energy
Brute Force,Endpoint Detection,Retail
Cross-Site Scripting,Firewall,Healthcare
Phishing,VPN,Finance
Phishing,WAF,Education
Malware,WAF,Finance
DDoS,MFA,Finance
Zero-Day Exploit,MFA,Education
Ransomware,Endpoint Detection,Education
Zero-Day Exploit,VPN,Healthcare
Ransomware,Antivirus,Energy
Zero-Day Exploit,MFA,Retail
DDoS,Antivirus,Manufacturing
Phishing,WAF,Education
Brute Force,IDS,Manufacturing
Phishing,SIEM,Manufacturing
Phishing,IDS,Retail
DDoS,Antivirus,Finance
DDoS,Antivirus,Retail
Ransomware,SIEM,Government
Malware,VPN,Education
Malware,Firewall,Manufacturing
Cross-Site Scripting,WAF,Technology
Zero-Day Exploit,SIEM,Government
Cross-Site Scripting,SIEM,Government
Cross-Site Scripting,IDS,Technology
